,company,title,Job_Category,location,overall_score,Company_Size,Found_Year,Company_Type,Industry,Sector,salary,Lower_salary,Upper_salary
378,Swing Consulting Limited,Data Analyst,Data Engineer,Hong Kong,3.0,Unknown,,Company - Private,,,HK$204K - HK$420K,204.0,420.0
379,Red Consultancy Services,System Engineer,Data Engineer,Hong Kong,4.0,501 to 1000 Employees,1995,Company - Private,IT Services,Information Technology,HK$240K - HK$500K,240.0,500.0
380,Pinpoint Asia,Market Data Delivery Manager,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$240K - HK$720K,240.0,720.0
381,Robert Walters,Network Engineer - Datacentre,Data Engineer,Hong Kong,4.0,1001 to 5000 Employees,1985,Company - Public,Staffing & Outsourcing,Business Services,,,
382,Harmonic Inc.,Software Development Engineer (Experienced),Data Engineer,Hong Kong,4.0,1001 to 5000 Employees,1988,Company - Public,Telecommunications Manufacturing,Telecommunications,HK$240K,240.0,240.0
383,Karrie International Holdings Limited,Plastic Tooling Design Engineer (Full time/ Part time),Data Engineer,Hong Kong,,Unknown,,Company - Private,,,,,
384,Arup,2021 Graduate Engineer (Building Envelope and Materials - Façade),Data Engineer,Hong Kong,4.1,10000+ Employees,1946,Company - Private,Architectural & Engineering Services,Business Services,HK$236K - HK$251K,236.0,251.0
385,AGroup Company,Data Analyst,Data Engineer,Lai Chi Kok,,1 to 50 Employees,,Company - Private,,,HK$204K - HK$420K,204.0,420.0
386,Pinpoint Asia,Perl Developer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
387,T&S Quantum,Data Analyst,Data Engineer,Hong Kong,,51 to 200 Employees,,Company - Private,,,,,
388,Transin Holding Limited,Data Analyst,Data Engineer,Cyberport,,Unknown,,Company - Public,,,HK$204K - HK$405K,204.0,405.0
389,Capgemini Hong Kong Limited,Data Architect,Data Engineer,Hong Kong,3.9,10000+ Employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,,,
390,Hong Kong Broadband Network,Cloud Engineer,Data Engineer,Hong Kong,3.5,1001 to 5000 Employees,1999,Company - Public,Internet,Information Technology,,,
391,UMEC,PRINCIPAL ENGINEER/ SENIOR ENGINEER/ ENGINEER IN ANALOG/MIXED SIGNAL IC DESIGN,Data Engineer,Hong Kong,3.8,501 to 1000 Employees,1988,Subsidiary or Business Segment,Construction,"Construction, Repair & Maintenance",,,
392,Goldman Sachs,Eqs Execution Research - Quantitative Engineer,Data Engineer,Hong Kong,4.0,10000+ Employees,1869,Company - Public,Investment Banking & Asset Management,Finance,HK$101K - HK$160K,101.0,160.0
393,Aurecon Group,Project Structural Engineer,Data Engineer,Hong Kong,3.7,5001 to 10000 Employees,2009,Company - Private,Consulting,Business Services,HK$300K - HK$469K,300.0,469.0
394,"Advanced Energy Industries, Inc",Engineer - Intellectual Property,Data Engineer,Hong Kong,3.7,10000+ Employees,1981,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,HK$216K - HK$432K,216.0,432.0
395,Goldman Sachs,Marquee Engineering – DevOps Engineer (Lead),Data Engineer,Hong Kong,4.0,10000+ Employees,1869,Company - Public,Investment Banking & Asset Management,Finance,"HK$828K - HK$1,080K",828.0,80.0
396,Bond West Consultants,System Support Engineer,Data Engineer,Hong Kong,2.3,201 to 500 Employees,,Unknown,,,,,
397,ATAL Engineering Group,Assistant Engineer,Data Engineer,Hong Kong,3.9,1001 to 5000 Employees,1977,Subsidiary or Business Segment,Architectural & Engineering Services,Business Services,,,
398,中国太平人寿保险(香港)有限公司,Data Analyst,Data Engineer,Hong Kong,3.9,,,,,,,,
399,Dah Sing Bank 大新銀行,"Data Analyst, Commercial Banking (1-year contract)",Data Engineer,Hong Kong,3.1,1001 to 5000 Employees,2004,Company - Public,Banks & Credit Unions,Finance,,,
400,BC Technology Group,Software Engineer – Blockchain,Data Engineer,Hong Kong,3.1,51 to 200 Employees,,Company - Public,Brokerage Services,Finance,HK$233K - HK$265K,233.0,265.0
401,CENSUS AND STATISTICS DEPARTMENT,Statistician,Data Engineer,Hong Kong,4.0,5001 to 10000 Employees,2000,Government,Federal Agencies,Government,,,
402,ATAL Engineering Ltd,Software Engineer,Data Engineer,Hong Kong,3.9,1001 to 5000 Employees,1977,Subsidiary or Business Segment,Architectural & Engineering Services,Business Services,,,
403,Millennium Capital Management (Singapore) Pte Ltd,REQ-11893 Software Engineer - Java,Data Engineer,Hong Kong,4.1,1001 to 5000 Employees,1989,Company - Private,Investment Banking & Asset Management,Finance,HK$144K - HK$700K,144.0,700.0
404,Arup,2021 Graduate Engineer (Civil / Geotechnical / Rail Engineering (Civil) / Structural / Transport),Data Engineer,Hong Kong,4.1,10000+ Employees,1946,Company - Private,Architectural & Engineering Services,Business Services,,,
405,Arup,2021 Graduate Engineer (Building Services / Electrical / Mechanical / Building Sustainability / Fire),Data Engineer,Hong Kong,4.1,10000+ Employees,1946,Company - Private,Architectural & Engineering Services,Business Services,,,
406,Fano Labs Limited,Research Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
407,Oliver James Associates,"Bank - Data Analyst ($25K, 1 year contract)",Data Engineer,Hong Kong,4.6,201 to 500 Employees,2002,Company - Private,Staffing & Outsourcing,Business Services,,,
408,Zühlke,,Data Engineer,Hong Kong,4.6,1001 to 5000 Employees,1968,Company - Private,IT Services,Information Technology,,,
409,Pinpoint Asia,Cloud Infrastructure Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
410,Oliver James Associates,"Data Scientist (renewable contract, up to 45K)",Data Engineer,Hong Kong,4.6,201 to 500 Employees,2002,Company - Private,Staffing & Outsourcing,Business Services,,,
411,Harbour Plaza Resort City (H.K.) Resources Limited,Senior Duty Engineer,Data Engineer,Hong Kong,3.1,51 to 200 Employees,,Unknown,"Hotels, Motels, & Resorts",Travel & Tourism,HK$360K - HK$500K,360.0,500.0
412,Arup,Engineer / Project Engineer / Senior Engineer (Structural),Data Engineer,Hong Kong,4.1,10000+ Employees,1946,Company - Private,Architectural & Engineering Services,Business Services,HK$291K - HK$420K,291.0,420.0
413,Avanade,Data Architect,Data Engineer,Hong Kong,4.1,10000+ Employees,2000,Company - Private,IT Services,Information Technology,HK$240K - HK$403K,240.0,403.0
414,Clustertech Limited,Data Scientist / Computational Scientist,Data Engineer,Hong Kong,3.9,51 to 200 Employees,2000,Company - Private,Computer Hardware & Software,Information Technology,HK$300K - HK$365K,300.0,365.0
415,Oliver James Associates,"Senior Data Analyst (renewable contract, up to 45K)",Data Engineer,Hong Kong,4.6,201 to 500 Employees,2002,Company - Private,Staffing & Outsourcing,Business Services,,,
