,company,title,Job_Category,location,overall_score,Company_Size,Found_Year,Company_Type,Industry,Sector,salary,Lower_salary,Upper_salary
237,Michael Page,Data Engineer,Data Engineer,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,,,
238,Advance Engineering (Development) Ltd,Electrical Engineer,Data Engineer,Hong Kong,,,,,,,,,
239,KPMG,"Data Engineer, Managed Services",Data Engineer,Hong Kong,3.8,10000+ Employees,1987,Company - Private,Consulting,Business Services,,,
240,RC Labs Ltd.,Machine Learning Engineer / Data Scientist (Battery Modeling),Data Engineer,Hong Kong,,,,,,,,,
241,APT Satellite,Assistant Operation Engineer (SAC),Data Engineer,Hong Kong,4.0,Unknown,,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,,,
242,Morgan Stanley,"Data Engineer, Associate",Data Engineer,Hong Kong,4.0,10000+ Employees,1935,Company - Public,Investment Banking & Asset Management,Finance,,,
243,Infosys Limited,Sampling Shop Rep Engineer,Data Engineer,Hong Kong,3.8,10000+ Employees,1981,Company - Public,IT Services,Information Technology,,,
244,Thakral One Pte Ltd,Data Center Engineer,Data Engineer,Hong Kong,4.4,51 to 200 Employees,,Company - Private,IT Services,Information Technology,,,
245,Pinpoint Asia,Data Engineer (Chinese NLP libraries/Machine Learning),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
246,Michael Page HK,Data Engineer - Quant Hedge Fund - Python & SQL,Data Engineer,,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,,,
247,Match Talent,Data Engineer / Analyst,Data Engineer,Hong Kong,5.0,Unknown,,Company - Private,,,,,
248,Pinpoint Asia,AVP – Senior Market Data Engineer/Specialist,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$216K - HK$456K,216.0,456.0
249,Page Personnel,Data Warehouse Engineer (HiveQL) - Top Chinese Bank,Data Engineer,Hong Kong,4.2,Unknown,,Company - Public,,,,,
250,Seamatch Asia,Project Manager/ System Analyst / Data Engineer /Project Trainee,Data Engineer,Hong Kong,2.8,1 to 50 Employees,,Company - Private,Staffing & Outsourcing,Business Services,HK$240K - HK$603K,240.0,603.0
251,新世界建築,Data Engineer / Analyst,Data Engineer,Hong Kong,3.9,,,,,,,,
252,Michael Page HK,"Manager, Data Engineering (Data Engineer) - Big Data - AWS/ Azure/ GCP",Data Engineer,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,,,
253,Ernst & Young,Data & Analytics (Senior Data Engineer / Data Architect / Cloud / ETL / Big Data) – Manager,Data Engineer,Hong Kong,3.8,10000+ Employees,1989,Company - Private,Accounting,Accounting & Legal,,,
254,Pinpoint Asia,Big Data and ETL Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
255,Match Talent,Data Scientist / Data Engineer (PhD),Data Engineer,Hong Kong,5.0,Unknown,,Company - Private,,,HK$216K - HK$420K,216.0,420.0
256,HamlynWilliams,Senior Data Engineer - SaaS Creative Platform (Amazing Working Culture),Data Engineer,Hong Kong,3.5,51 to 200 Employees,2011,Company - Private,Staffing & Outsourcing,Business Services,HK$137K - HK$354K,137.0,354.0
257,Shopline,Software Engineer Intern,Data Engineer,Sheung Wan,3.7,51 to 200 Employees,,Company - Private,,,,,
258,Pinpoint Asia,Data Center Engineer (Leading Financial Institution),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
259,Michael Page,"Manager, Data Engineering (Data Engineer)",Data Engineer,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,,,
260,Hong Kong Broadband Network,Data Architect / Data Engineer,Data Engineer,Hong Kong,3.5,1001 to 5000 Employees,1999,Company - Public,Internet,Information Technology,,,
261,KPMG,"Data Engineer, Managed Services",Data Engineer,Hong Kong,4.2,10000+ Employees,1987,Company - Private,Consulting,Business Services,HK$486K - HK$848K,486.0,848.0
262,KOS International Limited,Senior Data Engineer/Analytic - Finance/Leasing (~45K),Data Engineer,Hong Kong,4.0,1 to 50 Employees,,Company - Private,,,,,
263,PEOBASE Limited,Senior Engineer - Data Center Facility,Data Engineer,Hong Kong,,1 to 50 Employees,,Company - Private,,,,,
264,Pinpoint Asia,Head of Data Engineering,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
265,Talent Blue,Data Center Engineer (Cabling),Data Engineer,Hong Kong,5.0,1 to 50 Employees,2014,Company - Private,Staffing & Outsourcing,Business Services,HK$173K - HK$300K,173.0,300.0
266,Michael Page HK,Data Engineer/ Architect (Alteryx/ Power BI/ Azure),Data Engineer,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,,,
267,Silicon Valley Associates Recruitment - Hong Kong,"Senior Data Engineer, Industry-Media Company, +$600K HKD",Data Engineer,Tseung Kwan O,4.7,Unknown,,Company - Private,,,,,
268,Pinpoint Asia,Data Engineering Development Lead,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$192K - HK$420K,192.0,420.0
269,Argyll Scott,Data Engineer - Tech firm & Media,Data Engineer,Remote,3.7,51 to 200 Employees,2010,Company - Private,Staffing & Outsourcing,Business Services,,,
270,PEOBASE Limited,"Senior Engineer, Data Center",Data Engineer,Hong Kong,,1 to 50 Employees,,Company - Private,,,,,
271,Michael Page HK,Data Engineer/ Architect (ETL/ Cloud),Data Engineer,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,,,
272,E.C.Fix Technology Ltd,Data Center Engineer,Data Engineer,Tsuen Wan,,201 to 500 Employees,,Company - Private,,,HK$130K - HK$202K,130.0,202.0
274,OPS Communication Ltd.,Systems Engineer / Senior Systems Engineer,Data Engineer,Hong Kong,,,,,,,,,
275,E-Buy Global Limited,Data Engineer,Data Engineer,Hong Kong,4.0,,,,,,,,
276,Time Medical Limited,Field Service Engineer,Data Engineer,Hong Kong,4.4,1 to 50 Employees,,Company - Private,,,,,
277,China Telecom Global Limited,Project Engineer (Data Center),Data Engineer,Hong Kong,3.8,10000+ Employees,1997,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,,,
278,"The Hongkong Electric Co., Ltd.",Engineer (Construction & Maintenance)(Ref: TND-CM-EI-CT),Data Engineer,Hong Kong,3.7,Unknown,,Company - Public,Construction,"Construction, Repair & Maintenance",,,
279,APT Satellite,Assistant Satellite Operation Engineer (SCC),Data Engineer,Hong Kong,4.0,Unknown,,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,,,
280,Pinpoint Asia,Technical Lead (Data Engineering & Analytics),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
281,SIRIUS Partners Ltd,Data Engineer- Top Financial Institution,Data Engineer,Hong Kong,,51 to 200 Employees,,Self-employed,,,HK$216K - HK$420K,216.0,420.0
282,Top20Talent,Data Center Engineer,Data Engineer,Hong Kong,,Unknown,,Company - Private,,,,,
283,Jane Street,Data Center Engineer: Experienced,Data Engineer,Hong Kong,4.1,1001 to 5000 Employees,2000,Company - Private,Investment Banking & Asset Management,Finance,HK$154K - HK$250K,154.0,250.0
284,Ernst & Young,"Consulting – Financial Services, Data & Analytics – Data Engineer (Cloud)",Data Engineer,Hong Kong,3.8,10000+ Employees,1989,Company - Private,Accounting,Accounting & Legal,HK$240K - HK$391K,240.0,391.0
285,Pinpoint Asia,Data Quality Management & Engineering Lead,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
286,Michael Page HK,Data Engineer (Big Data/BI/Modeling) - Top Bank,Data Engineer,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,,,
287,Swing Consulting,Data Engineer (Business Intelligence Projects),Data Engineer,Hong Kong,3.0,Unknown,,Company - Private,,,,,
288,Pacific Careers,Junior Data Engineer (I-444),Data Engineer,Hong Kong,,Unknown,,Company - Private,,,HK$216K - HK$420K,216.0,420.0
289,Pinpoint Asia,Big Data Software Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
290,Match Talent,Data Scientist,Data Engineer,Hong Kong,5.0,Unknown,,Company - Private,,,,,
291,The Floor,Data Analyst,Data Engineer,Hong Kong,4.2,1 to 50 Employees,,Company - Private,,,,,
292,Harmonic Inc.,Software Development Engineer,Data Engineer,Hong Kong,4.0,1001 to 5000 Employees,1988,Company - Public,Telecommunications Manufacturing,Telecommunications,,,
293,Arup,Data Scientist,Data Engineer,Hong Kong,4.1,10000+ Employees,1946,Company - Private,Architectural & Engineering Services,Business Services,,,
294,Hays,"Data Engineer (Assistant Manager grade , Pharma)",Data Engineer,Hong Kong,3.7,5001 to 10000 Employees,1968,Company - Private,Staffing & Outsourcing,Business Services,,,
295,Avanade,Data Engineering,Data Engineer,Hong Kong,4.1,10000+ Employees,2000,Company - Private,IT Services,Information Technology,,,
296,Pinpoint Asia,Lead/Senior Java Data Engineer (Greenfield Build-out),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$216K - HK$456K,216.0,456.0
297,100x Group,Data Engineering Lead Developer,Data Engineer,Hong Kong,4.0,51 to 200 Employees,2014,Company - Private,Stock Exchanges,Finance,,,
298,Pinpoint Asia,Technical Manager (Data Engineering & Data Lake),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$156K - HK$456K,156.0,456.0
299,Delvify,Data Scientist,Data Engineer,Hong Kong,,Unknown,,Company - Private,,,,,
300,lalamove,Senior Data Analyst,Data Engineer,Hong Kong,3.6,501 to 1000 Employees,2013,Company - Private,Logistics & Supply Chain,Transportation & Logistics,HK$420K - HK$446K,420.0,446.0
301,Lululemon,Data Scientist,Data Engineer,Hong Kong,4.4,10000+ Employees,1998,Company - Public,"Department, Clothing, & Shoe Stores",Retail,,,
302,Pernod Ricard,Data Analyst,Data Engineer,Hong Kong,4.1,10000+ Employees,1975,Company - Private,Food & Beverage Manufacturing,Manufacturing,,,
303,South China Morning Post,Data Scientist,Data Engineer,Hong Kong,3.3,501 to 1000 Employees,1903,Company - Private,Publishing,Media,HK$270K - HK$336K,270.0,336.0
304,Network Guard,Senior Data Center Engineer,Data Engineer,Hong Kong,5.0,Unknown,,Company - Private,,,HK$162K - HK$250K,162.0,250.0
305,Pinpoint Asia,Data Engineer (ETL),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
306,Visa,Data Scientist,Data Engineer,Hong Kong,4.1,10000+ Employees,1958,Company - Public,IT Services,Information Technology,,,
307,IBM,Data Scientist,Data Engineer,Hong Kong,4.2,10000+ Employees,1911,Company - Public,IT Services,Information Technology,HK$403K - HK$540K,403.0,540.0
308,Cityray Technology (China)Ltd,System Engineer,Data Engineer,Hong Kong,5.0,Unknown,,Company - Public,,,HK$198K - HK$480K,198.0,480.0
309,OneSky Technology and Service (China) Limited,Operations Engineer/Analyst,Data Engineer,Hong Kong,3.9,,,,,,HK$240K - HK$360K,240.0,360.0
310,Alliance E&M Engineering Ltd,Assistant Engineer/Engineer,Data Engineer,Hong Kong,,Unknown,,Company - Private,,,,,
311,RC Labs Ltd.,Machine Learning Engineer / Data Scientist (Battery Modeling),Data Engineer,Hong Kong,4.0,,,,,,,,
312,SIRIUS Partners Ltd,Data Engineer- Top Financial Institution,Data Engineer,Hong Kong,,51 to 200 Employees,,Self-employed,,,,,
313,CONTROL AUTOMATION,Engineer / Assistant Engineer,Data Engineer,Hong Kong,2.0,Unknown,,Company - Private,,,,,
314,Pinpoint Asia Limited,Electronic Trading Support Engineer - Global Capital Market FinTech,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$245K - HK$420K,245.0,420.0
315,HGC Global Communications Limited,Data Analyst,Data Engineer,Hong Kong,2.9,1001 to 5000 Employees,,Company - Private,,,HK$204K - HK$430K,204.0,430.0
316,Swing Consulting,Senior Data Analyst,Data Engineer,Hong Kong,3.0,Unknown,,Company - Private,,,HK$282K - HK$450K,282.0,450.0
317,Octopus Holdings,Data Scientist,Data Engineer,Hong Kong,,Unknown,,Company - Private,,,HK$264K - HK$500K,264.0,500.0
318,Amazon Web Services Hong Kong,"Data Architect, Data Lake and Analytics",Data Engineer,Causeway Bay,3.8,10000+ Employees,1994,Company - Public,Internet,Information Technology,,,
319,Build King Holdings Ltd,Assistant Engineer - Civil (Ref:CT/AE),Data Engineer,Hong Kong,4.0,1001 to 5000 Employees,1980,Company - Private,Construction,"Construction, Repair & Maintenance",HK$234K - HK$288K,234.0,288.0
320,Pinpoint Asia,Big Data Architect,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
321,TBM The Beauty Medical,Data Analyst,Data Engineer,Hong Kong,,,,,,,,,
322,Infotech Services,Senior Data Scientist,Data Engineer,Kwun Tong,5.0,501 to 1000 Employees,,Company - Private,,,HK$264K - HK$500K,264.0,500.0
323,Société Générale,Junior Software Engineer,Data Engineer,Hong Kong,3.7,10000+ Employees,1864,Company - Public,Investment Banking & Asset Management,Finance,,,
324,Pinpoint Asia,T24 Senior Software Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$336K - HK$600K,336.0,600.0
325,Bluemont Consulting,(Senior) Data Analyst | Global Bank | Contract,Data Engineer,Hong Kong,,Unknown,,Company - Private,,,,,
326,Aptitude Asia,Data Analyst Lead / Data Analyst - multi-strategies Hedge Fund,Data Engineer,Hong Kong,,1 to 50 Employees,,Company - Private,,,HK$180K - HK$428K,180.0,428.0
327,Octopus Holdings Limited,Senior System Engineer / Analyst Programmer (International Projects),Data Engineer,Hong Kong,4.0,51 to 200 Employees,2005,Company - Public,,,,,
328,BNP Paribas,"Data Analyst, IG Hub APAC",Data Engineer,Hong Kong,3.7,10000+ Employees,2000,Company - Public,Banks & Credit Unions,Finance,,,
329,Build King Holdings Ltd,Design Engineer - H/O (ref: CT/DE),Data Engineer,Hong Kong,4.0,1001 to 5000 Employees,1980,Company - Private,Construction,"Construction, Repair & Maintenance",HK$246K - HK$300K,246.0,300.0
330,Pinpoint Asia,Security Engineer (Cryptography),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
331,中國通海國際金融,Data Analyst,Data Engineer,Hong Kong,3.9,,,,,,,,
332,Match Talent,Data Scientist (Financial Services),Data Engineer,Hong Kong,5.0,Unknown,,Company - Private,,,,,
333,HK Electric Investments,Engineer II (Communication),Data Engineer,Ap Lei Chau,4.2,1001 to 5000 Employees,1890,Company - Private,,,,,
334,Pinpoint Asia,Cloud DevOps Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$540K - HK$750K,540.0,750.0
335,Headsearch21 Consultancy Limited,Senior / Software Engineer,Data Engineer,Hong Kong,,1 to 50 Employees,,Company - Private,,,,,
336,Chiyu Banking Corporation Limited,Data Analyst,Data Engineer,Hong Kong,3.1,1 to 50 Employees,1947,Company - Private,Investment Banking & Asset Management,Finance,HK$216K - HK$408K,216.0,408.0
337,Conners Consulting,Data Architect and Cloud Migration Specialist renewable 6month contract 70k,Data Engineer,Sheung Wan,,1 to 50 Employees,,Company - Private,,,HK$233K - HK$480K,233.0,480.0
338,Michael Page HK,Software Engineer - ERP,Data Engineer,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,,,
339,Michael Page HK,Senior Data Architect - Leading Bank,Data Engineer,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,HK$118K - HK$420K,118.0,420.0
340,Pinpoint Asia,Linux/UNIX Engineer (Security Stream),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
341,Siemens Healthcare Limited,Senior Customer Service Engineer/ Customer Service Engineer,Data Engineer,Hong Kong,4.2,10000+ Employees,1843,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,,,
342,Global Executive Consultants,Senior Database Administrator (HK$42K - $47K),Data Engineer,Hong Kong,3.0,1 to 50 Employees,,Contract,,,,,
343,HONG KONG ECONOMIC TIMES LIMITED,Cloud Engineer,Data Engineer,Hong Kong,3.5,1001 to 5000 Employees,1988,Company - Public,Publishing,Media,,,
344,Pinpoint Asia,DevSecOps Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$288K - HK$619K,288.0,619.0
345,Siemens Healthcare Limited,Senior Customer Service Engineer/ Customer Service Engineer,Data Engineer,Hong Kong,4.1,10000+ Employees,1843,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,,,
346,FedEx Express,Engineer/Senior Engineer,Data Engineer,Hong Kong,3.8,10000+ Employees,1971,Subsidiary or Business Segment,Express Delivery Services,Transportation & Logistics,HK$372K - HK$564K,372.0,564.0
347,Hutchison Telecommunications (Hong Kong) Limited,Data Architect,Data Engineer,Hong Kong,3.0,10000+ Employees,1977,Company - Public,Beauty & Personal Accessories Stores,Retail,,,
348,Pinpoint Asia Limited,C++ Software Engineer - Global FinTech Group,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
349,Selby Jennings,Senior Software Engineer (Crypto Wallets),Data Engineer,Hong Kong,3.4,201 to 500 Employees,2004,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,,,
350,Fundpark Limited,Data Scientist,Data Engineer,Hong Kong,1.9,1 to 50 Employees,,Company - Private,,,,,
351,Pinpoint Asia Limited,Network Security Engineer - Asia Financial Group,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$300K - HK$480K,300.0,480.0
352,Acton Consulting Limited,Facilities Engineer / (Senior) Technician - Data Centre,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$258K - HK$516K,258.0,516.0
353,NLS,Cloud Architect/ Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
354,"Eames Consulting, EA Licence No: 16S8091",Software Engineer for Tier 1 Banks and Hedge Funds,Data Engineer,Hong Kong,4.2,51 to 200 Employees,2002,Company - Private,Staffing & Outsourcing,Business Services,,,
355,Integral E&M Engineering Limited,Assistant E&M Manager / Senior E&M Engineer - Estimating (Ref: CT/AEMM/SEME - EST),Data Engineer,Hong Kong,4.0,1001 to 5000 Employees,1980,Company - Private,Construction,"Construction, Repair & Maintenance",HK$216K - HK$480K,216.0,480.0
356,Feedzai,Software Engineer,Data Engineer,Hong Kong,4.1,201 to 500 Employees,2009,Company - Private,Computer Hardware & Software,Information Technology,,,
357,Pinpoint Asia,Linux Infrastructure Engineer (Growing Prop Trading Firm),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$238K - HK$480K,238.0,480.0
358,Integral E&M Engineering Limited,Assistant E&M Manager / Senior E&M Engineer - Electrical (Ref: CT/S/EME - EL),Data Engineer,Hong Kong,4.0,1001 to 5000 Employees,1980,Company - Private,Construction,"Construction, Repair & Maintenance",,,
359,Michael Page HK,Data Analyst,Data Engineer,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,HK$204K - HK$420K,204.0,420.0
